Q,a95,Com,Formation,Lat,Lon,CLat,CLon,RLat,RLon,EULER,Age,GPDB RefNo/Reference,Block
5,4.8,,USGS SW North America composite,-86.3,5.7,,,,,,0.5,Mankinen (2008),North America (101)
5,9.1,,Michoacan Guanajuato volcanic field,-86.4,8.4,,,-86.4,9.2,(79.2/23/.2),0.8,Maciel Peña et al. (2009),North America (101)
5,7.1,,Tequila volcanic fields,-85.3,265.9,,,-85.3,-94.1,(79.9/22.7/.3),1,Ceja et al. (2006),North America (101)
5,8.7,,Meseta Lago Buenos Aires,-88.4,225.5,,,-88.4,-135.7,(79.9/22.7/.3),1,Brown et al. (2004),North America (101)
5,4.3,,Trans Mexican Volcanic Belt,-88.9,285,,,-88.9,-75.1,(79.9/22.7/.3),1,"Ruiz-Martínez et al., 2010",North America (101)
3,4.9,,Katherine Creek sediments,-77.9,303.7,-80,3.5,-80,4.2,(80.8/22.8/.4),1.5,"3060, T",North America (101)
3,7,,Banks Island deposits,-85.7,122.7,-81.2,73.9,-81.1,74.5,(80.8/22.8/.4),1.5,"3206, T",North America (101)
5,5.7,,USGS SW North America composite,-84.5,241,,,-84.5,-119.1,(80.8/22.8/.4),1.5,Mankinen (2008),North America (101)
5,6.2,,Trans-Mexican Volcanic Belt,-89.5,214.8,,,-89.5,-157.9,(80.8/22.9/.8),3,Mejia et al. (2005),North America (101)
5,4.1,,Trans Mexican Volcanic Belt,-84.6,332.3,,,-84.8,-25.6,(80.9/22.8/1),4,Ruiz-Martínez et al. (2010),North America (101)
5,6.7,,Eastern Alkaline Province,-87.9,275.9,,,-88,-84.4,(80.9/22.8/1),4,Goguitchaichvili et al. (2007),North America (101)
5,5,,Snake River Plain,-85.5,197.4,,,-85.5,-163.9,(80.9/22.8/1.3),5,Tauxe et al. (2004),North America (101)
5,5,,USGS SW North America composite,-85.3,262.1,,,-85.5,-97.9,(80.9/22.8/1.8),7,Mankinen (2008),North America (101)
5,6.9,,Trans Mexican Volcanic Belt,-85.9,357.7,,,-86,3.9,(80.9/22.8/2),8,Ruiz-Martínez et al. (2010),North America (101)
5,7.8,,USGS SW North America composite,-82.9,309.1,,,-83.3,-47.3,(80.9/22.9/2.6),10,Mankinen (2008),North America (101)
3,12.9,,Hepburn's Mesa Formation,-81.1,225.3,-83.1,93.2,-82.4,98.8,(80.9/23.2/4.2),15.5,"2288, T",North America (101)
5,3.7,,Stoddard Mountain laccolith,-82.9,346.2,,,-83.5,-1.3,(80.3/25.4/5.8),21,Petronis et al. (2004),North America (101)
5,9.8,,Dinan Bay lavas,-82.7,301.7,,,-83.7,-51,(80.2/26/6),21.7,Irving et al. (2000),North America (101)
4,6.7,,Younger plutons,-87.1,189.5,,,-86.7,177.4,(80/26.6/6.2),22.5,"1402, T",North America (101)
3,8.4,,Lake City Caldera,-76.4,30.3,,,-76.2,41,(79.9/26.9/6.3),23,"1300, T",North America (101)
4,5.2,,Latir volcanics,-80.9,331.2,,,-81.8,-17.8,(79.8/27.3/6.4),23.5,"1299, T",North America (101)
4,6.8,,Conejos and Hinsdale Formation,-79.7,342.8,,,-80.5,-4.3,(79.3/27.5/7.1),26,"3130, T",North America (101)
4,5.4,,"Latir extrusives, sediments",-80.2,315.4,,,-81.4,-32.9,(78.8/22.7/7.5),27,"1299, T",North America (101)
3,5,,Mongollon–Datil volcanics,-82.8,316.2,,,-84.2,-24,(77.4/12.5/8.6),30,"2631, T",North America (101)
4,4.4,,Mongollon–Datil volcanics,-81.9,323.6,,,-83.1,-16.9,(77.4/12.5/8.6),30,"1315, T",North America (101)
6,6.2,,Tuzantlán–Copalillo basin,-80.6,22.1,,,-79.5,43.5,(76/6.1/9.7),33,Molina-Garza and Ortega-Rivera (2006),North America (101)
4,4.3,,Mariscal Mountain Gabbro,-79.8,5.9,,,-78.9,31.9,(74.9/1.4/11.4),37,"2943, T",North America (101)
5,7,,Ramsay Island lavas,-78.2,297.5,,,-80.7,-40.3,(74.5/.1/12),38.5,Irving et al. (2000),North America (101)
3,2.4,,Mistastin Lake Impact,-85.2,296.6,,,-87.2,-9.1,(74.5/− 1.1/12.6),40,"562, T",North America (101)
6,3,,Beaver River alkalic complex,-79.2,326.4,,,-80.1,-1.7,(74.4/− 2.5/13.4),42,Symons et al. (2003),North America (101)
5,7.7,,East Fork Washakia Basin,-83.7,323.7,-76.7,50.4,-73.2,70.3,(74.3/− 3.7/14.2),44,"1632, T",North America (101)
5,8,,Absaroka flows,-82.7,333.6,,,-82.6,19.8,(74.2/− 4.9/15),46,"1117, T",North America (101)
4,9.6,,Rattlesnake Hills volcanics,-79.3,324.3,,,-80.2,0.8,(74.2/− 4.9/15),46,"1712, T",North America (101)
4,10.1,,Monterey intrusives,-85.2,62,,,-81.2,84,(74.5/− 4.8/15.3),47,"1865, T",North America (101)
6,5.6,,Bitterroot Dome dike swarm,-72,343.4,,,-71.9,10.7,(74.5/− 4.8/15.3),47,"2560, T",North America (101)
5,4,,Robinson Anticline intrusives,-77.1,325.8,,,-78.1,-0.9,(75.9/− 3.5/16.2),50,"1348, T",North America (101)
6,6.2,,Absorako volcanics,-83.1,326.3,,,-83.5,15.9,(75.9/− 3.5/16.2),50,Harlan and Morgan (2010),North America (101)
6,4.9,,Wasatch and Green River Formation,-77.6,309.1,-78.3,22.7,-75.8,51.7,(76.5/− 2.8/16.5),51,"3150, T",North America (101)
6,2.6,,Combined Eocene intrusives,-82.7,347.2,,,-81.8,31.2,(76.5/− 2.8/16.5),51,"1270, T",North America (101)
6,4.4,,Bighorn Basin,-81.4,347.7,-73.9,48.8,-71.3,71.7,(79.8/4.1/17.6),55,Clyde et al. (2007),North America (101)
5,14,,Rhyolite intrusion and contact,-68.1,9.4,,,-67.3,34.2,(80.9/6.2/18.2),57,"504, T",North America (101)
6,3,,Nacimiento formation,-75.9,326.4,-74.9,24.7,-73.4,52,(81.8/4.8/19.4),61,"1033, T",North America (101)
4,1.1,,Gringo Gulch volcanics,-77.1,21.3,,,-75.6,50.6,(82.2/4/20),63,"1710, T",North America (101)
