age,N,RM_a95,RM_plat,RM_plon,RM_0.6_a95,RM_0.6_plat,RM_0.6_plon,spline_plat,spline_plon,GCD
0,15,2.5,-87.1,11.9,2.5,-87.1,11.9,-87.9,65.6,2.4
10,26,2.6,-85.6,3.6,2.6,-86.5,3.4,-85.1,5.1,1.5
20,16,3.9,-82.8,7.2,4.3,-85,5.1,-84.6,1.9,0.5
30,8,4.9,-80,2.2,6,-82.6,353.6,-83.1,346.5,1.1
40,8,5.6,-75.8,356.8,6,-77.9,351.4,-79.1,338.3,2.8
50,5,7.9,-75,2.5,8.4,-76.7,359.5,-77.6,6.4,1.8
60,10,3,-71,44.9,3,-71,44.9,-73.9,35.2,4.2
70,11,1.7,-69.7,46.3,1.7,-69.7,46.3,-69.7,47,0.2
80,14,2.9,-70.5,53.2,2.9,-70.5,53.2,-70.1,50.6,1
90,20,2.6,-70.3,58,2.6,-70.3,58,-69.7,58.7,0.6
100,9,4.2,-68.9,63.9,4.2,-68.9,63.9,-66.1,73,4.5
110,13,3.2,-56.6,83.7,4,-56.7,82.2,-59.9,81.7,3.2
120,18,3.1,-54.1,82.4,3.6,-54.1,81.3,-52.8,82.3,1.4
130,10,4.4,-48.9,79.1,4.4,-48.9,79.1,-49.5,81.1,1.5
140,5,8.1,-49.9,77.4,8.1,-49.9,77.4,-54.5,72.8,5.4
150,4,14.5,-62.8,63.6,14.5,-62.8,63.6,-61,64,1.8
160,6,10.7,-61.1,74.5,10.7,-61.1,74.5,-60.5,73,0.9
170,9,6,-55.8,76.7,6,-55.7,76.7,-52.8,79.3,3.3
180,22,4.5,-60.6,82.5,4.5,-60.6,82.5,-56.8,83.6,3.9
190,26,4.4,-66.3,82.2,4.4,-66.3,82.2,-70.3,82.9,4.1
200,14,5,-72.1,65,6.4,-70.8,64.1,-71.4,65.6,0.7
210,9,5.7,-66.6,64,8,-64.6,63,-62.9,60.1,2.1
220,3,15.9,-59,53.6,18,-56.8,44.9,-58.1,50.8,3.6
230,7,7.2,-55.9,56.4,5.9,-54.7,47.1,-55,48.9,2.5
240,9,7.7,-51.1,65.8,9.1,-48.3,56,-47.8,57.7,1.2
250,13,6.5,-48.1,71.7,7.8,-42.6,59.7,-43.2,63.5,2.8
260,10,8,-47.8,69.4,8.4,-42.6,62,-42.3,62.5,0.5
270,11,6,-38.5,63.5,7.4,-38.1,59.6,-37.5,59,1.6
280,17,6.5,-37.5,59.6,7.4,-36.4,53.1,-35.6,48.8,3.6
290,14,7.3,-40.4,57.4,8.3,-38.7,48.8,-36.9,48.1,1.9
300,14,5.9,-33.3,55.7,6.8,-29.5,48.4,-30.8,48.7,1.7
310,14,3.9,-28.7,55.7,4.4,-24.3,48,-24.3,47.9,3.1
320,9,4.9,-26.4,53.5,5.4,-24.4,46.2,-23.3,44.2,2.2
330,2,16.4,-29.7,47.2,41.1,-25.3,42.5,-23,40.3,3
340,,,-18.6,33.2,,-22,37.7,-21.7,36.3,1.6
350,1,5.9,-18.6,33.2,5.9,-18.6,33.2,-19.4,31.4,1.5
360,5,11.9,-10.2,16.5,11.8,-10.8,18.3,-15.2,24.4,7.3
370,7,13,-5.7,15.6,13.1,-6.2,16.9,-7.8,16.6,1.3
380,4,21.4,-0.3,12.3,21.4,-0.3,12.3,-4.3,13.2,4.3
390,,,10,15,0,-12,13.2,-9.1,13.3,3.2
400,2,180,-17,13.6,105.8,-23.6,14.2,-19.8,13.4,4.4
410,1,6.6,-43.9,11.7,6.6,-43.9,11.7,-31,9.8,13
420,,,-21.3,0,,-23.9,2.3,-28.9,2.7,5.3
430,,,1.9,351.6,,-3.5,355.5,-14.7,355.3,11.5
440,1,18,25,343,18,17,349,3.1,350.4,14
450,1,18,25,343,18,17,349,20.5,347.8,4.1
460,2,95.6,32.7,351.5,151.4,31.8,358.2,30.5,349.5,8.6
470,5,14.3,34,356,17,33.6,358.6,33.2,358.6,0.6
480,5,7.2,33.5,3.4,11,30.7,3.6,31.1,6.8,3.3
490,7,4.2,32.8,7.8,13.4,30.8,7.9,34.3,12.9,5.5
500,10,10.7,25.2,6.5,10.7,25.2,6.5,30.7,10.7,6.7
510,9,7.8,16.9,4.4,7.9,17,4.2,19.9,4,2.9
520,11,9.2,13.6,357.8,9.4,13.8,357.1,9.3,351,7.5
530,7,13.5,7.7,347,13.8,8.5,344.7,4.2,339.8,6.5
540,4,30.9,-6.9,332.1,32.4,-3.9,326.8,-1.3,328.6,3.2
550,2,44.7,-18.6,320.7,66.3,-14.7,315.2,-7.5,313.4,7.4
