age,sample,meter,d18O,d18O_water_defliese,T_le_defliese,T_pu_defliese,d18O_water_1,T_le_d18O_water_1,T_pu_d18O_water_1,d18O_water_1_5,T_le_d18O_water_1_5,T_pu_d18O_water_1_5,d18O_water_2,T_le_d18O_water_2,T_pu_d18O_water_2,d18O_water_thiag_h,T_le_d18O_water_thiag_h,T_pu_d18O_water_thiag_h,d18O_water_thiag_m,T_le_d18O_water_thiag_m,T_pu_d18O_water_thiag_m,d18O_water_thiag_l,T_le_d18O_water_thiag_l,T_pu_d18O_water_thiag_l,type,min,period,stage,regionalstage,conzone,chizone,country,state,lat,long,source,Source
451.7,75-HA 5.1,0,19.6,-2.097346994,19.76193853,23.33719568,-1,24.7,27.968,-1.5,22.45,25.858,-2,20.2,23.748,-4,11.2,15.308,-4.85,7.375,11.721,-5.7,3.55,8.134,conodont,apatite,Ordovician,Katian,,Aphelognathus grandis,,USA,Kentucky,38.59285,-85.176254,Edwards_2022,Edwards_2022
451.7,75-HA 5.2,0,19.3,-2.097346994,21.11193853,24.60319568,-1,26.05,29.234,-1.5,23.8,27.124,-2,21.55,25.014,-4,12.55,16.574,-4.85,8.725,12.987,-5.7,4.9,9.4,conodont,apatite,Ordovician,Katian,,Aphelognathus grandis,,USA,Kentucky,38.59285,-85.176254,Edwards_2022,Edwards_2022
451.7,75-HA 15,3.1,18.7,-2.097346994,23.81193853,27.13519568,-1,28.75,31.766,-1.5,26.5,29.656,-2,24.25,27.546,-4,15.25,19.106,-4.85,11.425,15.519,-5.7,7.6,11.932,conodont,apatite,Ordovician,Katian,,Aphelognathus grandis,,USA,Kentucky,38.59285,-85.176254,Edwards_2022,Edwards_2022
451.7,75-HA 25.1,6.1,16.4,-2.097346994,34.16193853,36.84119568,-1,39.1,41.472,-1.5,36.85,39.362,-2,34.6,37.252,-4,25.6,28.812,-4.85,21.775,25.225,-5.7,17.95,21.638,conodont,apatite,Ordovician,Katian,,Aphelognathus grandis,,USA,Kentucky,38.59285,-85.176254,Edwards_2022,Edwards_2022
451.7,75-HA 25.2,6.1,18.1,-2.097346994,26.51193853,29.66719568,-1,31.45,34.298,-1.5,29.2,32.188,-2,26.95,30.078,-4,17.95,21.638,-4.85,14.125,18.051,-5.7,10.3,14.464,conodont,apatite,Ordovician,Katian,,Aphelognathus grandis,,USA,Kentucky,38.59285,-85.176254,Edwards_2022,Edwards_2022
451.7,75-HB 0.1,7.2,20,-2.097346994,17.96193853,21.64919568,-1,22.9,26.28,-1.5,20.65,24.17,-2,18.4,22.06,-4,9.4,13.62,-4.85,5.575,10.033,-5.7,1.75,6.446,conodont,apatite,Ordovician,Katian,,Aphelognathus grandis,,USA,Kentucky,38.59285,-85.176254,Edwards_2022,Edwards_2022
451.7,75-HB 0.2,7.2,18.6,-2.097346994,24.26193853,27.55719568,-1,29.2,32.188,-1.5,26.95,30.078,-2,24.7,27.968,-4,15.7,19.528,-4.85,11.875,15.941,-5.7,8.05,12.354,conodont,apatite,Ordovician,Katian,,Aphelognathus grandis,,USA,Kentucky,38.59285,-85.176254,Edwards_2022,Edwards_2022
451.6,75-HA 35,9.2,18.5,-2.097027338,24.71337698,27.98054463,-1,29.65,32.61,-1.5,27.4,30.5,-2,25.15,28.39,-4,16.15,19.95,-4.85,12.325,16.363,-5.7,8.5,12.776,conodont,apatite,Ordovician,Katian,,Aphelognathus grandis,,USA,Kentucky,38.59285,-85.176254,Edwards_2022,Edwards_2022
451.6,75-HB 25.1,14.8,18.7,-2.097027338,23.81337698,27.13654463,-1,28.75,31.766,-1.5,26.5,29.656,-2,24.25,27.546,-4,15.25,19.106,-4.85,11.425,15.519,-5.7,7.6,11.932,conodont,apatite,Ordovician,Katian,,Aphelognathus grandis,,USA,Kentucky,38.59285,-85.176254,Edwards_2022,Edwards_2022
451.6,75-HB 25.2,14.8,18.6,-2.097027338,24.26337698,27.55854463,-1,29.2,32.188,-1.5,26.95,30.078,-2,24.7,27.968,-4,15.7,19.528,-4.85,11.875,15.941,-5.7,8.05,12.354,conodont,apatite,Ordovician,Katian,,Aphelognathus grandis,,USA,Kentucky,38.59285,-85.176254,Edwards_2022,Edwards_2022
451.5,75-HB 50.1,22.4,18.8,-2.096707682,23.36481543,26.71589358,-1,28.3,31.344,-1.5,26.05,29.234,-2,23.8,27.124,-4,14.8,18.684,-4.85,10.975,15.097,-5.7,7.15,11.51,conodont,apatite,Ordovician,Katian,,Aphelognathus grandis,,USA,Kentucky,38.59285,-85.176254,Edwards_2022,Edwards_2022
451.5,75-HB 50.2,22.4,18.6,-2.096707682,24.26481543,27.55989358,-1,29.2,32.188,-1.5,26.95,30.078,-2,24.7,27.968,-4,15.7,19.528,-4.85,11.875,15.941,-5.7,8.05,12.354,conodont,apatite,Ordovician,Katian,,Aphelognathus grandis,,USA,Kentucky,38.59285,-85.176254,Edwards_2022,Edwards_2022
451.4,75-HB 70,28.5,18.8,-2.096388025,23.36625389,26.71724253,-1,28.3,31.344,-1.5,26.05,29.234,-2,23.8,27.124,-4,14.8,18.684,-4.85,10.975,15.097,-5.7,7.15,11.51,conodont,apatite,Ordovician,Katian,,Aphelognathus grandis,,USA,Kentucky,38.59285,-85.176254,Edwards_2022,Edwards_2022
