Appendix 2. Oxygen isotope compositions of biogenic phosphates and sample information.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
id,igsn,sample,alternate_sample,age,age_min,age_max,age_reference,age_error_ma,age_comment,period,scotese_time,scotese_intervalls,stage_2020,formation,member,number_interval_cm,country_ocean,location,locality_comment,latitude,longitude,paleolat,paleolang,palaeolat_long_source,climate_zone,fossil_group,taxon,mineralogy,cai,overall_preservation,sample_comment,δ13c_permille,select_d13c_permille,sauerstof_isotop_permille,d18o_of_standard,sims_correction_permille,select_d18o_permille,standard,"d18Osw, iceV","D18Osw,lat. Mod","D18Osw,lat. Pg","D18Osw,lat, climate corr","d18Osw, iceV,lat corr",T (PJ10; -1.08‰),T (PJ10;  iceV),"T (PJ10; iceV, lat corr)",title,journal,volume,issue,first_page,last_page,year,book_title,book_editor,publisher,authors
12163,2002941,IV,,0,0,0,GTS 2020,,,Modern,1,Pleistocene - Calabrian - Gelasian,Modern,,,,France,Mediterranean,,,,-0.0172389,-0.07881,,Tropical,Fish,Myliobatis aquila,apatite,,,,,,22.9,"21,7",,22.9,,0,0.33,0.11,0.26,0.26,13.7,18.3,19.4,d18O values of coexisting brachiopods and fish: Temeprature differences and estimates of paleo-water depths,Geology,26,,975,978,1998,,,,"Picard, S.,  S., Garcia, J-P., et al."
12164,2002943,II,,0,0,0,GTS 2020,,,Modern,1,Pleistocene - Calabrian - Gelasian,Modern,,,,France,Mediterranean,,,,,,,,Fish,Squalus acanthias,apatite,,,,,,23.7,"21,7",,23.7,,0,,,,,10.3,14.9,,d18O values of coexisting brachiopods and fish: Temeprature differences and estimates of paleo-water depths,Geology,26,,975,978,1998,,,,"Picard, S.,  S., Garcia, J-P., et al."
12165,2002944,III,,0,0,0,GTS 2020,,,Modern,1,Pleistocene - Calabrian - Gelasian,Modern,,,,France,Mediterranean,,,,,,,,Fish,Galeorhinos galeus,apatite,,,,,,24.1,"21,7",,24.1,,0,,,,,8.6,13.2,,d18O values of coexisting brachiopods and fish: Temeprature differences and estimates of paleo-water depths,Geology,26,,975,978,1998,,,,"Picard, S.,  S., Garcia, J-P., et al."
12166,2002945,I,,0,0,0,GTS 2020,,,Modern,1,Pleistocene - Calabrian - Gelasian,Modern,,,,France,Mediterranean,,,,,,,,Fish,Dalatias licha,apatite,,,,,,24.8,"21,7",,24.8,,0,,,,,5.7,10.2,,d18O values of coexisting brachiopods and fish: Temeprature differences and estimates of paleo-water depths,Geology,26,,975,978,1998,,,,"Picard, S.,  S., Garcia, J-P., et al."
12187,2003616,NSB-9b,,0,0,0,GTS 2020,,,modern,1,Pleistocene - Calabrian - Gelasian,Modern,,,,South Africa,KwaZulu-Natal,,-28.75,32,-28.7959,31.8987,,Tropical/Subtropical,Fish,Carcharhinus obscurus (Dusky shark),apatite,,,Different AgPO4 preparation of same sample,,,20.9,"22,6",,20,,0,0.64,0.42,0.58,0.58,25.9,30.5,32.9,Isotopic composition of recent shark teeth as a proxy for environmental conditions,"Geochimica et Cosmochimica Acta,",65,,1583,1599,2001,,,,"Vennemman, T.W., E. Hegner, G. Cliff, and G.W. Benz"
12188,2003617,NSB-9,,0,0,0,GTS 2020,,,modern,1,Pleistocene - Calabrian - Gelasian,Modern,,,,South Africa,KwaZulu-Natal,,-28.76,32.01,-28.75,32,,Tropical/Subtropical,Fish,Carcharhinus obscurus (Dusky shark),apatite,,,Top 10 mm of 20 mm tooth,,,21.4,"22,6",,20.5,,0,0.64,0.42,0.58,0.58,23.8,28.4,30.8,Isotopic composition of recent shark teeth as a proxy for environmental conditions,"Geochimica et Cosmochimica Acta,",65,,1583,1599,2001,,,,"Vennemman, T.W., E. Hegner, G. Cliff, and G.W. Benz"
12189,2003618,NSB-7,,0,0,0,GTS 2020,,,modern,1,Pleistocene - Calabrian - Gelasian,Modern,,,,South Africa,KwaZulu-Natal,,-28.77,32.02,-28.75,32,,Tropical/Subtropical,Fish,Carcharhinus obscurus (Dusky shark),apatite,,,Top 10 of 19 mm tooth,,,21.5,"22,6",,20.6,,0,0.64,0.42,0.58,0.58,23.4,28.0,30.4,Isotopic composition of recent shark teeth as a proxy for environmental conditions,"Geochimica et Cosmochimica Acta,",65,,1583,1599,2001,,,,"Vennemman, T.W., E. Hegner, G. Cliff, and G.W. Benz"
12190,2003619,NSBTV-1,,0,0,0,GTS 2020,,,modern,1,Pleistocene - Calabrian - Gelasian,Modern,,,,South Africa,KwaZulu-Natal,,-28.78,32.03,-28.75,32,,Tropical/Subtropical,Fish,Galeocerdo cuvier (Tiger shark),apatite,,,Top 6 of 20 mm tooth,,,21.5,"22,6",,20.6,,0,0.64,0.42,0.58,0.58,23.4,28.0,30.4,Isotopic composition of recent shark teeth as a proxy for environmental conditions,"Geochimica et Cosmochimica Acta,",65,,1583,1599,2001,,,,"Vennemman, T.W., E. Hegner, G. Cliff, and G.W. Benz"
12191,2003620,NSB-6,,0,0,0,GTS 2020,,,modern,1,Pleistocene - Calabrian - Gelasian,Modern,,,,South Africa,KwaZulu-Natal,,-28.79,32.04,-28.75,32,,Tropical/Subtropical,Fish,Sphyrna mokarran (Great hammerhead),apatite,,,Top 10 of 14 mm tooth,,,21.5,"22,6",,20.6,,0,0.64,0.42,0.58,0.58,23.4,28.0,30.4,Isotopic composition of recent shark teeth as a proxy for environmental conditions,"Geochimica et Cosmochimica Acta,",65,,1583,1599,2001,,,,"Vennemman, T.W., E. Hegner, G. Cliff, and G.W. Benz"
12192,2003621,NSB-8,,0,0,0,GTS 2020,,,modern,1,Pleistocene - Calabrian - Gelasian,Modern,,,,South Africa,KwaZulu-Natal,,-28.8,32.05,-28.75,32,,Tropical/Subtropical,Fish,Carcharhinus obscurus (Dusky shark),apatite,,,Top 8 of 19 mm tooth,,,21.6,"22,6",,20.7,,0,0.64,0.42,0.58,0.58,23.0,27.5,30.0,Isotopic composition of recent shark teeth as a proxy for environmental conditions,"Geochimica et Cosmochimica Acta,",65,,1583,1599,2001,,,,"Vennemman, T.W., E. Hegner, G. Cliff, and G.W. Benz"
12193,2003622,NSBTV-2,,0,0,0,GTS 2020,,,modern,1,Pleistocene - Calabrian - Gelasian,Modern,,,,South Africa,KwaZulu-Natal,,-28.81,32.06,-28.75,32,,Tropical/Subtropical,Fish,Galeocerdo cuvier (Tiger shark),apatite,,,Top 5 of 18 mm tooth,,,21.7,"22,6",,20.8,,0,0.64,0.42,0.58,0.58,22.6,27.1,29.6,Isotopic composition of recent shark teeth as a proxy for environmental conditions,"Geochimica et Cosmochimica Acta,",65,,1583,1599,2001,,,,"Vennemman, T.W., E. Hegner, G. Cliff, and G.W. Benz"
12194,2003623,NSB-33gD,,0,0,0,GTS 2020,,,modern,1,Pleistocene - Calabrian - Gelasian,Modern,,,,South Africa,KwaZulu-Natal,,-28.82,32.07,-28.75,32,,Tropical/Subtropical,Fish,Carcharodon carcharias (Great white shark),apatite,,,"Root, bottom 4 of 30 mm tooth, dentine only",,,21.9,"22,6",,21,,0,0.64,0.42,0.58,0.58,21.7,26.3,28.7,Isotopic composition of recent shark teeth as a proxy for environmental conditions,"Geochimica et Cosmochimica Acta,",65,,1583,1599,2001,,,,"Vennemman, T.W., E. Hegner, G. Cliff, and G.W. Benz"
12195,2003624,NSB-4,,0,0,0,GTS 2020,,,modern,1,Pleistocene - Calabrian - Gelasian,Modern,,,,South Africa,KwaZulu-Natal,,-28.83,32.08,-28.75,32,,Tropical/Subtropical,Fish,Sphyrna mokarran (Great hammerhead),apatite,,,Top 7 of 10 mm tooth,,,22,"22,6",,21.1,,0,0.64,0.42,0.58,0.58,21.3,25.9,28.3,Isotopic composition of recent shark teeth as a proxy for environmental conditions,"Geochimica et Cosmochimica Acta,",65,,1583,1599,2001,,,,"Vennemman, T.W., E. Hegner, G. Cliff, and G.W. Benz"
12196,2003625,NSB-5,,0,0,0,GTS 2020,,,modern,1,Pleistocene - Calabrian - Gelasian,Modern,,,,South Africa,KwaZulu-Natal,,-28.84,32.09,-28.75,32,,Tropical/Subtropical,Fish,Sphyrna mokarran (Great hammerhead),apatite,,,Top 10 of 13 mm tooth,,,22,"22,6",,21.1,,0,0.64,0.42,0.58,0.58,21.3,25.9,28.3,Isotopic composition of recent shark teeth as a proxy for environmental conditions,"Geochimica et Cosmochimica Acta,",65,,1583,1599,2001,,,,"Vennemman, T.W., E. Hegner, G. Cliff, and G.W. Benz"
12197,2003626,NSB-39D,,0,0,0,GTS 2020,,,modern,1,Pleistocene - Calabrian - Gelasian,Modern,,,,South Africa,KwaZulu-Natal,,-28.85,32.1,-28.75,32,,Tropical/Subtropical,Fish,Carcharias taurus (Sand tiger),apatite,,,"24 mm tooth, fifth row (back), dentine only",,,22.1,"22,6",,21.2,,0,0.64,0.42,0.58,0.58,20.9,25.4,27.9,Isotopic composition of recent shark teeth as a proxy for environmental conditions,"Geochimica et Cosmochimica Acta,",65,,1583,1599,2001,,,,"Vennemman, T.W., E. Hegner, G. Cliff, and G.W. Benz"
